,followers,genres,href,id,name,popularity,uri
9514,"{'href': None, 'total': 1974}","['ambient psychill', 'greek house', 'psychill']",https://api.spotify.com/v1/artists/3X0GNGITWx0QifCeQDCtx4,3X0GNGITWx0QifCeQDCtx4,Cydelix,9,spotify:artist:3X0GNGITWx0QifCeQDCtx4
9515,"{'href': None, 'total': 11898}",[],https://api.spotify.com/v1/artists/7KygebVvltzvrQxNnukuFT,7KygebVvltzvrQxNnukuFT,Tom Middleton,31,spotify:artist:7KygebVvltzvrQxNnukuFT
9516,"{'href': None, 'total': 6464}",[],https://api.spotify.com/v1/artists/5nElPA3ZQgaV2PA6QVF3Ud,5nElPA3ZQgaV2PA6QVF3Ud,Snow Flakes,19,spotify:artist:5nElPA3ZQgaV2PA6QVF3Ud
9517,"{'href': None, 'total': 7918}",[],https://api.spotify.com/v1/artists/4WDYYguvP3oxLxmVjHiSYs,4WDYYguvP3oxLxmVjHiSYs,Praful,33,spotify:artist:4WDYYguvP3oxLxmVjHiSYs
9518,"{'href': None, 'total': 11531}",['chill lounge'],https://api.spotify.com/v1/artists/1V1uWJvLjUEXrJY89jilz5,1V1uWJvLjUEXrJY89jilz5,VARGO,32,spotify:artist:1V1uWJvLjUEXrJY89jilz5
9519,"{'href': None, 'total': 22}",[],https://api.spotify.com/v1/artists/2Lgxm04e7pNjXnFG5J6B0V,2Lgxm04e7pNjXnFG5J6B0V,SW,12,spotify:artist:2Lgxm04e7pNjXnFG5J6B0V
9520,"{'href': None, 'total': 26}",[],https://api.spotify.com/v1/artists/0HRqW4aZa5Dre6fLSHtNp9,0HRqW4aZa5Dre6fLSHtNp9,James Amos,0,spotify:artist:0HRqW4aZa5Dre6fLSHtNp9
9521,"{'href': None, 'total': 25500}",[],https://api.spotify.com/v1/artists/7pCfNMcSlUWQgBXbyoEcyO,7pCfNMcSlUWQgBXbyoEcyO,Solomon Grey,39,spotify:artist:7pCfNMcSlUWQgBXbyoEcyO
9522,"{'href': None, 'total': 25}",[],https://api.spotify.com/v1/artists/5wuAi7Rxn18ulPzSdfvC1A,5wuAi7Rxn18ulPzSdfvC1A,Skindive Inc.feat.Ino,0,spotify:artist:5wuAi7Rxn18ulPzSdfvC1A
9523,"{'href': None, 'total': 2796}","['chill lounge', 'deep chill', 'german electronica']",https://api.spotify.com/v1/artists/0HHXC0pYsT8MxX46KDwMz9,0HHXC0pYsT8MxX46KDwMz9,KLANGSTEIN,29,spotify:artist:0HHXC0pYsT8MxX46KDwMz9
9524,"{'href': None, 'total': 36}",[],https://api.spotify.com/v1/artists/2RQ0bsUQUO31zalkyh6MX5,2RQ0bsUQUO31zalkyh6MX5,Miriam Kappert,1,spotify:artist:2RQ0bsUQUO31zalkyh6MX5
9525,"{'href': None, 'total': 130}",[],https://api.spotify.com/v1/artists/1dMl928qnn337KCREYqt7S,1dMl928qnn337KCREYqt7S,Rust Blossom,0,spotify:artist:1dMl928qnn337KCREYqt7S
